第  戎,蒙彼利,1,0,0.8,1.04,0,0.7,1.14,1
梅  斯,摩纳哥,-1,-0.5,1.04,0.8,-0.5,1.09,0.75,0
南  特,巴斯蒂,3,0.5,1.02,0.82,0.5,0.86,0.98,3
里  尔,南  锡,1,0.5,0.9,0.94,0.5,0.8,1.04,3
卡  昂,图卢兹,3,0,0.8,1.04,0,0.92,0.92,3
昂  热,马  赛,-1,0,0.82,1.02,0,0.9,0.94,1
尼  斯,洛里昂,3,0.75,1,0.84,0.75,0.9,0.94,3
里  昂,埃蒂安,3,0.75,0.98,0.86,0.75,1.1,0.78,3
图卢兹,摩纳哥,-2,-0.25,0.86,0.98,0,0.94,0.9,3
尼  斯,里  昂,0,0,0.96,0.88,0,1.04,0.8,3
南  锡,日尔曼,-1,-1.25,1.06,0.78,-1.25,0.86,0.98,0
洛里昂,南  特,2,0,0.84,1,0,0.88,0.96,0
甘  冈,里  尔,2,0,0.82,1.02,0,0.9,0.94,3
蒙彼利,卡  昂,2,0.5,0.96,0.88,0.5,0.96,0.88,3
巴斯蒂,昂  热,1,0.25,0.96,0.88,0,0.7,1.14,0
雷  恩,波尔多,4,0.25,0.98,0.86,0.25,1.1,0.74,1
埃蒂安,第  戎,3,0.75,0.94,0.9,0.75,0.98,0.86,1
马  赛,梅  斯,2,1,0.84,1,1.25,0.88,0.96,3
摩纳哥,蒙彼利,7,0.75,0.94,0.9,0.75,0.76,1.08,3
里  昂,甘  冈,4,1,1.02,0.82,1.25,1.06,0.78,0
昂  热,图卢兹,1,0,0.86,0.98,0,0.76,1.08,1
第  戎,洛里昂,1,0.25,0.86,0.98,0.25,0.9,0.94,3
南  特,雷  恩,0,0.25,0.9,0.94,0.25,0.96,0.88,0
波尔多,南  锡,0,0.75,1.02,0.82,0.75,0.96,0.88,1
里  尔,巴斯蒂,3,0.75,0.88,0.96,0.75,1.08,0.76,3
卡  昂,埃蒂安,2,0,0.9,0.94,0,0.92,0.92,0
梅  斯,尼  斯,0,-0.5,0.8,1.04,-0.5,0.66,1.18,0
日尔曼,马  赛,4,1.75,0.94,0.9,1.5,0.8,1.04,1
