莫陆军,乌法,4,1.25,0.82,0.98,1.25,1.1,0.7,3
阿姆卡,莫火车,0,0,0.96,0.84,0,1.04,0.76,1
喀  山,苏维埃,2,0.75,0.9,0.9,0.75,0.9,0.9,3
莫斯巴,罗斯托,5,0.5,0.88,0.92,0.5,0.86,0.94,3
乌拉尔,泽尼特,-3,-1.25,0.6,1.2,-1.25,0.66,1.14,0
奥伦堡,托姆斯,2,0.25,0.82,0.98,0.25,0.82,0.98,3
图拉,克拉斯,-1,-0.75,0.82,0.98,-0.75,0.7,1.1,1
安  郅,格罗兹,0,0,0.9,0.9,0,1.02,0.78,1
苏维埃,图拉,4,0.25,0.8,1,0.25,0.72,1.08,1
托姆斯,安  郅,-1,0.25,1.04,0.76,0.25,1.04,0.76,0
乌法,罗斯托,0,0,0.96,0.84,0,0.92,0.88,1
乌拉尔,莫斯巴,-1,-0.5,0.88,0.92,-0.5,0.8,1,0
格罗兹,喀  山,1,0.25,1.04,0.76,0.25,1.14,0.66,3
莫火车,莫陆军,0,-0.25,0.76,1.04,0,1,0.8,3
克拉斯,阿姆卡,4,1,0.94,0.86,0.75,0.9,0.9,3
泽尼特,奥伦堡,4,2,1.16,0.64,2,1.08,0.72,3
阿姆卡,罗斯托,1,0,0.78,1.02,0.25,0.8,1,3
莫斯巴,莫陆军,3,0,0.68,1.12,0.25,0.9,0.9,3
乌拉尔,格罗兹,0,-0.25,0.72,1.08,-0.25,0.92,0.88,0
图拉,乌法,0,0,0.74,1.06,0,0.72,1.08,0
泽尼特,托姆斯,5,2,1.12,0.68,2,0.9,0.9,3
安  郅,克拉斯,-1,-0.25,0.9,0.9,-0.25,0.9,0.9,1
奥伦堡,苏维埃,0,0.25,1.04,0.76,0.25,0.94,0.86,3
喀  山,莫火车,0,0.25,1.08,0.72,0.25,1.16,0.64,3
托姆斯,莫斯巴,-2,-1,0.66,1.14,-0.75,0.82,0.98,0
乌法,喀  山,0,0,0.9,0.9,0,1,0.8,0
苏维埃,乌拉尔,2,0.25,0.92,0.88,0.25,0.88,0.92,1
莫火车,安  郅,2,0.75,0.82,0.98,0.75,0.82,0.98,3
罗斯托,图拉,6,0.75,0.84,0.96,0.75,0.84,0.96,3
格罗兹,泽尼特,-1,-0.75,0.76,1.04,-0.75,0.8,1,3
莫陆军,阿姆卡,6,0.75,0.82,0.98,0.75,0.84,0.96,1
