伯恩茅,赫尔城,4,0.5,0.88,0.98,0.5,0.76,1.1,3
曼  城,埃弗顿,2,1.25,0.98,0.88,1.25,1.04,0.82,1
斯托克,桑德兰,2,0.5,1.1,0.76,0.5,0.9,0.96,3
西布罗,热  刺,-2,-0.75,0.84,1.02,-0.75,1,0.86,1
水晶宫,西汉姆,0,0.25,0.9,0.96,0.25,0.88,0.98,0
米德尔,沃特福,2,0.25,1,0.86,0.25,0.92,0.94,0
南安普,伯恩利,1,1.5,1.04,0.82,1.5,1.04,0.82,3
利物浦,曼  联,0,0.25,0.82,1.04,0.25,0.94,0.92,1
伯恩茅,热  刺,-1,-0.5,0.9,0.96,-0.5,1.02,0.84,1
阿森纳,米德尔,4,1.75,0.98,0.88,1.75,0.96,0.9,1
伯恩利,埃弗顿,1,-0.75,0.98,0.88,-0.75,1,0.86,3
赫尔城,斯托克,0,0,1.04,0.82,-0.25,0.76,1.1,0
莱切城,水晶宫,1,0.5,1.04,0.82,0.5,0.96,0.9,3
斯旺西,沃特福,2,0.25,1.06,0.8,0.25,1.08,0.78,1
西汉姆,桑德兰,1,0.75,0.96,0.9,0.75,0.82,1.04,3
利物浦,西布罗,4,1.75,1,0.86,1.75,1.08,0.78,3
曼  城,南安普,2,1,0.86,1,1.25,1,0.86,1
切尔西,曼  联,2,0.25,0.86,1,0.25,0.88,0.98,3
桑德兰,阿森纳,-3,-1.5,0.82,1.04,-1.25,0.96,0.9,0
曼  联,伯恩利,4,2,0.98,0.88,1.75,0.93,0.93,1
米德尔,伯恩茅,2,0,0.78,1.08,0.25,1.1,0.76,3
热  刺,莱切城,6,1,1.06,0.8,1,1.04,0.82,1
沃特福,赫尔城,2,0.75,1.02,0.84,0.75,0.92,0.94,3
西布罗,曼  城,-2,-1.25,0.9,0.96,-1.25,0.88,0.98,0
水晶宫,利物浦,-2,-0.75,0.98,0.88,-0.75,0.92,0.94,0
埃弗顿,西汉姆,3,0.75,0.98,0.88,0.5,0.82,1.04,3
南安普,切尔西,-2,-0.25,0.92,0.94,-0.25,0.88,0.98,0
斯托克,斯旺西,2,0.5,0.9,0.96,0.5,1.02,0.84,3
伯恩茅,桑德兰,2,0.75,0.82,1.04,1,1.04,0.82,0
伯恩利,水晶宫,1,-0.25,0.76,1.1,-0.25,0.9,0.96,3
曼  城,米德尔,3,1.75,0.82,1.04,2,0.88,0.98,1
西汉姆,斯托克,0,0.25,0.8,1.06,0.5,1.02,0.84,1
切尔西,埃弗顿,4,1,0.96,0.9,1,0.8,1.06,3
阿森纳,热  刺,1,0.5,0.98,0.88,0.5,0.91,0.95,1
赫尔城,南安普,-1,-0.75,1.02,0.84,-0.75,1,0.86,3
利物浦,沃特福,5,1.5,0.84,1.02,1.75,0.9,0.96,3
斯旺西,曼  联,-2,-1,0.86,1,-0.75,1.02,0.84,0
莱切城,西布罗,3,0.75,1.04,0.82,0.75,0.92,0.94,0
曼  联,阿森纳,1,0,0.94,0.92,0.25,1.06,0.8,1
水晶宫,曼  城,-2,-1,1,0.86,-1.25,0.82,1.04,0
埃弗顿,斯旺西,5,1,0.94,0.92,1,0.9,0.96,1
南安普,利物浦,-2,-0.25,1.06,0.8,-0.25,0.84,1.02,1
斯托克,伯恩茅,2,0.25,0.98,0.88,0.25,0.84,1.02,0
桑德兰,赫尔城,2,0.25,0.9,0.96,0.25,0.9,0.96,3
沃特福,莱切城,2,0,0.98,0.88,0,1.08,0.78,3
热  刺,西汉姆,3,1,0.96,0.9,1.25,1.06,0.8,3
米德尔,切尔西,-1,-1,1.12,0.74,-1,1.08,0.78,0
西布罗,伯恩利,2,0.5,0.96,0.9,0.5,0.88,0.98,3
伯恩利,曼  城,-2,-1.75,0.88,0.98,-1.75,1.12,0.74,0
赫尔城,西布罗,1,0,1.08,0.78,0,0.96,0.9,1
莱切城,米德尔,2,0.5,0.82,1.04,0.5,0.88,0.98,1
利物浦,桑德兰,4,2.25,1,0.86,2.25,0.92,0.94,3
斯旺西,水晶宫,0,0,0.82,1.04,0,0.88,0.98,3
切尔西,热  刺,2,0.75,1,0.86,0.75,0.84,1.02,3
沃特福,斯托克,0,0.25,1.1,0.76,0.25,0.96,0.9,0
阿森纳,伯恩茅,4,1.25,0.88,0.98,1.5,0.94,0.92,3
曼  联,西汉姆,2,1,0.74,1.12,1.5,0.92,0.94,1
南安普,埃弗顿,0,0.5,1.04,0.82,0.5,1.1,0.76,3
曼  城,切尔西,1,0.5,1.06,0.8,0.25,0.84,1.02,0
水晶宫,南安普,0,-0.25,0.88,0.98,-0.5,0.78,1.08,3
斯托克,伯恩利,2,0.75,0.84,1.02,1,1.02,0.84,3
桑德兰,莱切城,1,-0.25,0.94,0.92,-0.25,0.94,0.92,3
热  刺,斯旺西,5,1.5,0.96,0.9,1.5,0.98,0.88,3
西布罗,沃特福,2,0.25,0.84,1.02,0.25,0.78,1.08,3
西汉姆,阿森纳,-2,-0.75,0.86,1,-0.75,1.12,0.74,0
伯恩茅,利物浦,-1,-0.75,1,0.86,-0.75,0.98,0.88,3
埃弗顿,曼  联,1,-0.25,1,0.86,-0.5,1,0.86,1
米德尔,赫尔城,3,0.75,1.04,0.82,0.5,0.88,0.98,3
沃特福,埃弗顿,0,-0.25,0.84,1.02,-0.25,0.9,0.96,3
阿森纳,斯托克,4,1.5,1.02,0.84,1.5,0.76,1.1,3
伯恩利,伯恩茅,2,-0.25,0.98,0.88,-0.25,0.88,0.98,3
赫尔城,水晶宫,0,-0.25,0.8,1.06,-0.25,0.9,0.96,1
斯旺西,桑德兰,2,0.25,0.82,1.04,0.5,1.06,0.8,3
莱切城,曼  城,-2,-0.75,0.82,1.04,-0.75,0.92,0.94,3
切尔西,西布罗,6,1.5,0.82,1.04,1.75,0.94,0.92,3
曼  联,热  刺,1,0.25,0.82,1.04,0.25,0.78,1.08,3
南安普,米德尔,1,0.75,0.82,1.04,0.75,0.76,1.1,3
利物浦,西汉姆,2,1.5,0.86,1,1.75,0.88,0.98,1
埃弗顿,阿森纳,2,-0.5,1.02,0.84,-0.5,0.98,0.88,3
米德尔,利物浦,-2,-1,0.88,0.98,-1,0.7,1.16,0
桑德兰,切尔西,-3,-1.5,0.96,0.9,-1,1.02,0.84,0
西汉姆,伯恩利,1,0.75,0.84,1.02,0.75,0.86,1,3
水晶宫,曼  联,-2,-0.75,0.98,0.88,-0.75,1,0.86,0
西布罗,斯旺西,2,0.5,1,0.86,0.5,1,0.86,3
曼  城,沃特福,4,1.75,0.94,0.92,1.75,0.92,0.94,3
斯托克,南安普,0,-0.25,0.78,1.08,-0.25,0.88,0.98,1
热  刺,赫尔城,6,1.75,0.9,0.96,1.75,0.82,1.04,3
水晶宫,切尔西,-1,-1,0.86,1,-1,1.04,0.82,0
米德尔,斯旺西,2,0.25,0.84,1.02,0.5,1.04,0.82,3
斯托克,莱切城,3,0,0.82,1.04,0,0.98,0.88,1
桑德兰,沃特福,1,0,0.84,1.02,0,0.82,1.04,3
西汉姆,赫尔城,2,0.75,0.82,1.04,0.75,0.9,0.96,3
西布罗,曼  联,-2,-0.75,0.92,0.94,-0.75,1.08,0.78,0
伯恩茅,南安普,1,0,1.06,0.8,0,1.04,0.82,0
曼  城,阿森纳,1,0.25,0.88,0.98,0.25,0.94,0.92,3
热  刺,伯恩利,5,2,0.98,0.88,2,1.02,0.84,3
埃弗顿,利物浦,1,-0.5,0.9,0.96,-0.5,0.84,1.02,0
沃特福,水晶宫,0,0.25,1.02,0.84,0.25,1.08,0.78,1
阿森纳,西布罗,5,1.5,0.9,0.96,1.5,0.94,0.92,3
伯恩利,米德尔,1,0,1.02,0.84,0,1,0.86,3
切尔西,伯恩茅,5,1.25,0.9,0.96,1.25,0.84,1.02,3
莱切城,埃弗顿,1,0,0.74,1.12,0,0.86,1,0
曼  联,桑德兰,4,1.75,0.86,1,2,0.98,0.88,3
斯旺西,西汉姆,0,0,0.88,0.98,0.25,1.06,0.8,0
赫尔城,曼  城,-3,-1.5,0.94,0.92,-1.25,1,0.86,0
利物浦,斯托克,3,1.5,0.82,1.04,1.5,0.92,0.94,3
南安普,热  刺,-2,0,1.02,0.84,0,1.1,0.76,0
赫尔城,埃弗顿,0,-0.5,1.06,0.8,-0.5,0.84,1.02,1
伯恩利,桑德兰,2,0.25,1.04,0.82,0.25,0.98,0.88,3
切尔西,斯托克,5,1.5,0.82,1.04,1.75,0.88,0.98,3
莱切城,西汉姆,1,0.25,0.82,1.04,0.5,1.06,0.8,3
曼  联,米德尔,3,1.5,0.84,1.02,1.5,0.8,1.06,3
南安普,西布罗,1,0.75,0.96,0.9,0.75,0.86,1,0
斯旺西,伯恩茅,1,0,0.98,0.88,0,0.88,0.98,0
利物浦,曼  城,0,0.25,1.02,0.84,0.25,1.06,0.8,3
沃特福,热  刺,-2,-0.75,0.98,0.88,-1,0.92,0.94,0
阿森纳,水晶宫,4,1.75,1.1,0.76,1.5,1.04,0.82,3
米德尔,莱切城,2,0,0.9,0.96,0,0.84,1.02,1
埃弗顿,南安普,3,0.25,0.96,0.9,0.25,1.04,0.82,3
曼  城,伯恩利,4,2,0.66,1.2,2,0.98,0.88,3
桑德兰,利物浦,-3,-1.25,1.06,0.8,-1.5,1.06,0.8,1
西布罗,赫尔城,3,0.75,1,0.86,0.5,0.98,0.88,3
西汉姆,曼  联,-2,-0.75,1.04,0.82,-1,0.92,0.94,0
伯恩茅,阿森纳,-1,-0.75,0.82,1.04,-0.75,1.08,0.78,1
水晶宫,斯旺西,2,0.75,1.04,0.82,0.5,0.84,1.02,0
斯托克,沃特福,3,0.5,0.92,0.94,0.75,1.02,0.84,3
热  刺,切尔西,2,0,1.06,0.8,0,0.9,0.96,3
热  刺,西布罗,5,1.5,1,0.86,1.25,0.8,1.06,3
伯恩利,南安普,0,-0.25,1.02,0.84,-0.5,0.96,0.9,3
赫尔城,伯恩茅,1,-0.25,0.82,1.04,-0.25,0.8,1.06,3
桑德兰,斯托克,0,-0.25,0.8,1.06,-0.25,0.96,0.9,0
斯旺西,阿森纳,-2,-1.25,0.82,1.04,-1,1.1,0.76,0
沃特福,米德尔,1,0.25,1.08,0.78,0.25,1,0.86,1
西汉姆,水晶宫,0,0.25,0.88,0.98,0.25,1.02,0.84,3
莱切城,切尔西,-1,-1,0.8,1.06,-0.75,0.86,1,0
